"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"B","experimental",7,9,"G5","0","0","0","0",2
"B","experimental",7,9,"G6","0","0","0","0",2
"B","experimental",7,9,"G7","2","0","0","1",2
"B","experimental",7,9,"G8","5","0","0","1",2
"B","experimental",7,9,"G9","0","0","0","0",2
"B","experimental",7,9,"G10","0","0","0","0",2
"B","experimental",7,9,"G11","0","0","0","0",2
"B","experimental",7,9,"G12","210","0","0","1",2
"B","experimental",7,9,"H1","0","0","0","0",2
"B","experimental",7,9,"H2","0","0","0","0",2
"B","experimental",7,9,"H3","2","0","0","1",2
"B","experimental",7,9,"H4","0","0","0","0",2
"B","experimental",7,9,"H5","1","0","0","1",2
"B","experimental",7,9,"H6","0","0","0","0",2
"B","experimental",7,9,"H7","1","0","0","1",2
"B","experimental",7,9,"H8","0","0","0","0",2
"B","experimental",7,9,"H9","151","0","0","1",2
"B","experimental",7,9,"H10","0","0","0","0",2
"B","experimental",7,9,"H11","237","0","0","1",2
"B","experimental",7,9,"H12","69","0","0","1",2
"B","control",7,9,"D1","0","0","0","0",2
