treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
B,5,3,F10,41,0,0,1
D,5,3,G1,0,0,9,1
D,5,3,G2,98,0,0,1
D,5,3,G3,0,0,0,0
D,5,3,G4,7,0,0,1
D,5,3,G5,88,0,0,1
D,5,3,G6,72,0,0,1
D,5,3,G7,12,0,0,1
D,5,3,G8,10,0,0,1
D,5,3,G9,19,0,0,1
D,5,3,G10,0,0,0,0
E,5,3,H1,6,0,0,1
E,5,3,H2,0,0,0,0
E,5,3,H3,16,0,0,1
E,5,3,H4,30,0,0,1
E,5,3,H5,0,0,0,0
E,5,3,H6,60,0,0,1
E,5,3,H7,0,0,0,0
E,5,3,H8,59,0,3,1
E,5,3,H9,29,0,0,1
E,5,3,H10,74,0,0,1
B,3,3,A1,1,0,0,1
B,3,3,A2,129,0,0,1
B,3,3,A3,22,0,0,1
B,3,3,A4,21,0,3,1
B,3,3,A5,76,0,0,1
B,3,3,A6,22,0,0,1
B,3,3,A7,1,0,0,1
B,3,3,A8,55,0,0,1
B,3,3,A9,0,0,0,0
B,3,3,A10,3,0,0,1
D,4,3,B1,78,0,0,1
D,4,3,B2,154,0,0,1
D,4,3,B3,15,0,0,1
D,4,3,B4,59,0,0,1
D,4,3,B5,40,0,0,1
D,4,3,B6,34,0,0,1
D,4,3,B7,25,0,0,1
D,4,3,B8,16,0,0,1
D,4,3,B9,79,0,0,1
D,4,3,B10,53,0,0,1
A,2,3,C1,143,0,0,1
A,2,3,C2,20,0,0,1
A,2,3,C3,23,0,0,1
A,2,3,C4,0,0,0,0
A,2,3,C5,53,0,0,1
A,2,3,C6,15,0,0,1
A,2,3,C7,25,0,0,1
A,2,3,C8,36,0,0,1
A,2,3,C9,pupated,pupated,pupated,pupated
A,2,3,C10,13,0,0,1
E,4,3,D1,184,0,0,1
E,4,3,D2,1,0,0,1
E,4,3,D3,34,0,0,1
E,4,3,D4,166,0,0,1
E,4,3,D5,85,3,1,1
E,4,3,D6,410,11,13,1
E,4,3,D7,0,0,0,0
E,4,3,D8,27,0,0,1
